#  Kanawha County, West Virginia July Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
198607,76.4,1.8
198707,75.9,1.3
198807,76.7,2.1
198907,74.7,0.1
199007,74.3,-0.3
199107,76.8,2.2
199207,74.6,0.0
199307,77.4,2.8
199407,75.2,0.6
199507,75.8,1.2
199607,71.5,-3.1
199707,74.4,-0.2
199807,73.8,-0.8
199907,78.2,3.6
200007,71.5,-3.1
200107,72.5,-2.1
200207,76.0,1.4
200307,73.4,-1.2
200407,73.7,-0.9
200507,76.5,1.9
200607,74.7,0.1
200707,72.8,-1.8
200807,73.1,-1.5
200907,70.4,-4.2
201007,76.5,1.9
201107,78.0,3.4
201207,78.0,3.4
201307,74.4,-0.2
201407,72.1,-2.5
201507,74.5,-0.1
201607,75.9,1.3
201707,75.1,0.5
201807,75.1,0.5
201907,77.1,2.5
202007,78.6,4.0
202107,74.5,-0.1
202207,75.4,0.8
202307,75.2,0.6
202407,76.8,2.2
